speaker,generated_file,original_file,similarity_score
04_M_nonNative,088_they are looking at the frogs.wav,they are looking at the frogs.wav,0.541697
04_M_nonNative,091_the what is that_.wav,the what is that_.wav,0.486768
04_M_nonNative,094_the kid shout on the the the witch hat .wav,the kid shout on the the the witch hat .wav,0.612015
05_F_native,001_and the kid is watching  .wav,and the kid is watching  .wav,0.324207
05_F_native,006_the kid woke up so did the dog .wav,the kid woke up so did the dog .wav,0.764921
05_F_native,018_when the kid and the dog is asleep.wav,when the kid and the dog is asleep.wav,0.629860
05_F_native,021_he was searching for him everywhere .wav,he was searching for him everywhere .wav,0.575959
05_F_native,029_the dog is looking in the jar and the kid is watching .wav,the dog is looking in the jar and the kid is watching .wav,0.550535
05_F_native,030_but they couldn't find him .wav,but they couldn't find him .wav,0.573739
05_F_native,063_because he can't find the frog.wav,because he can't find the frog.wav,0.577881
05_F_native,078_and the kid jumped out of the window after him .wav,and the kid jumped out of the window after him .wav,0.785729
05_F_native,079_and he saw that the frog was gone.wav,and he saw that the frog was gone.wav,0.562980
05_F_native,091_the frog is getting out of the jar .wav,the frog is getting out of the jar .wav,0.705252
05_F_native,094_the dog fell out of the window .wav,the dog fell out of the window .wav,0.675308
06_M_native,007_and he's awake .wav,and he's awake .wav,0.530076
06_M_native,007_and he's going like what's up on top of it .wav,and he's going like what's up on top of it .wav,0.559472
06_M_native,008_and the dog is down below.wav,and the dog is down below.wav,0.573485
06_M_native,015_and he is not very happy .wav,and he is not very happy .wav,0.559566
06_M_native,020_and he climbs over it's in there .wav,and he climbs over it's in there .wav,0.336493
06_M_native,021_and he hides from the owl or vulture.wav,and he hides from the owl or vulture.wav,0.529321
06_M_native,029_and he's jumping out of the window.wav,and he's jumping out of the window.wav,0.547577
06_M_native,050_and he puts a hat on.wav,and he puts a hat on.wav,0.620338
06_M_native,063_and the boy is looking at it .wav,and the boy is looking at it .wav,0.509078
06_M_native,064_and he's shouting  out .wav,and he's shouting  out .wav,0.666474
06_M_native,066_and he puts a a pot on top of his head.wav,and he puts a a pot on top of his head.wav,0.620169
06_M_native,068_and all the bees are going like that and he's frightened.wav,and all the bees are going like that and he's frightened.wav,0.621554
